0 1e+06 1.3e+07
0.5 1.2873e+06 1.3959e+07
1 1.6447e+06 1.4952e+07
1.5 2.0846e+06 1.5973e+07
2 2.6207e+06 1.7014e+07
2.5 3.2676e+06 1.8067e+07
3 4.0404e+06 1.9123e+07
3.5 4.9543e+06 2.0173e+07
4 6.0247e+06 2.1208e+07
4.5 7.2666e+06 2.2219e+07
5 8.6949e+06 2.3197e+07
5.5 1.0324e+07 2.4136e+07
6 1.2167e+07 2.5029e+07
6.5 1.4238e+07 2.5872e+07
7 1.6551e+07 2.6662e+07
7.5 1.912e+07 2.7396e+07
8 2.1958e+07 2.8074e+07
8.5 2.5078e+07 2.8696e+07
9 2.8499e+07 2.9264e+07
9.5 3.2234e+07 2.9779e+07
10 3.6301e+07 3.0236e+07
10.5 4.0704e+07 3.0737e+07
11 4.5431e+07 3.1294e+07
11.5 5.0455e+07 3.1864e+07
12 5.5754e+07 3.2434e+07
12.5 6.1292e+07 3.299e+07
13 6.7051e+07 3.3526e+07
13.5 7.2994e+07 3.4035e+07
14 7.9103e+07 3.4512e+07
14.5 8.5348e+07 3.4956e+07
15 9.1707e+07 3.5365e+07
15.5 9.8168e+07 3.574e+07
16 1.047e+08 3.6081e+07
16.5 1.113e+08 3.6389e+07
17 1.1795e+08 3.6666e+07
17.5 1.2463e+08 3.6913e+07
18 1.3136e+08 3.7132e+07
18.5 1.3811e+08 3.7327e+07
19 1.4488e+08 3.7498e+07
19.5 1.5167e+08 3.7647e+07
20 1.5847e+08 3.7778e+07
20.5 1.6527e+08 3.7891e+07
21 1.721e+08 3.7988e+07
21.5 1.7893e+08 3.8072e+07
22 1.8577e+08 3.8143e+07
22.5 1.9261e+08 3.8201e+07
23 1.9946e+08 3.825e+07
23.5 2.0631e+08 3.8291e+07
24 2.1315e+08 3.8325e+07
24.5 2.2e+08 3.835e+07
25 2.2684e+08 3.8369e+07
25.5 2.3367e+08 3.8383e+07
26 2.4047e+08 3.8393e+07
26.5 2.4726e+08 3.8399e+07
27 2.5405e+08 3.8399e+07
27.5 2.6081e+08 3.8397e+07
28 2.6753e+08 3.8393e+07
28.5 2.742e+08 3.8387e+07
29 2.8084e+08 3.8378e+07
29.5 2.8744e+08 3.8367e+07
30 2.9401e+08 3.8354e+07
30.5 3.0052e+08 3.8341e+07
31 3.0695e+08 3.8326e+07
31.5 3.1332e+08 3.831e+07
32 3.1961e+08 3.8294e+07
32.5 3.2583e+08 3.8277e+07
33 3.32e+08 3.8258e+07
33.5 3.3809e+08 3.824e+07
34 3.4407e+08 3.8221e+07
34.5 3.4996e+08 3.8202e+07
35 3.5575e+08 3.8183e+07
35.5 3.6144e+08 3.8164e+07
36 3.6703e+08 3.8145e+07
36.5 3.7252e+08 3.8125e+07
37 3.7793e+08 3.8106e+07
37.5 3.8322e+08 3.8087e+07
38 3.8839e+08 3.8067e+07
38.5 3.9345e+08 3.8049e+07
39 3.9839e+08 3.803e+07
39.5 4.0321e+08 3.8012e+07
40 4.0792e+08 3.7993e+07
40.5 4.1251e+08 3.7975e+07
41 4.1699e+08 3.7958e+07
41.5 4.2136e+08 3.794e+07
42 4.2562e+08 3.7923e+07
42.5 4.2976e+08 3.7906e+07
43 4.3378e+08 3.789e+07
43.5 4.3769e+08 3.7874e+07
44 4.4149e+08 3.7858e+07
44.5 4.4516e+08 3.7843e+07
45 4.4873e+08 3.7828e+07
45.5 4.5218e+08 3.7813e+07
46 4.5552e+08 3.7799e+07
46.5 4.5877e+08 3.7785e+07
47 4.6192e+08 3.7772e+07
47.5 4.6497e+08 3.7759e+07
48 4.6792e+08 3.7746e+07
48.5 4.7078e+08 3.7733e+07
49 4.7353e+08 3.7721e+07
49.5 4.7619e+08 3.771e+07
50 4.7875e+08 3.7698e+07
50.5 4.8121e+08 3.7687e+07
51 4.8358e+08 3.7677e+07
51.5 4.8588e+08 3.7666e+07
52 4.881e+08 3.7656e+07
52.5 4.9025e+08 3.7647e+07
53 4.9232e+08 3.7637e+07
53.5 4.9432e+08 3.7628e+07
54 4.9625e+08 3.7619e+07
54.5 4.9811e+08 3.7611e+07
55 4.9989e+08 3.7603e+07
55.5 5.0159e+08 3.7595e+07
56 5.0323e+08 3.7587e+07
56.5 5.0479e+08 3.758e+07
57 5.063e+08 3.7573e+07
57.5 5.0776e+08 3.7566e+07
58 5.0916e+08 3.756e+07
58.5 5.1051e+08 3.7553e+07
59 5.118e+08 3.7547e+07
59.5 5.1305e+08 3.7541e+07
60 5.1424e+08 3.7536e+07
