0 1e+06 1e+06 1e+06
0.5 1.2883e+06 1.2883e+06 1.2883e+06
1 1.6501e+06 1.6501e+06 1.6501e+06
1.5 2.1006e+06 2.1006e+06 2.1006e+06
2 2.6574e+06 2.6574e+06 2.6574e+06
2.5 3.3409e+06 3.3409e+06 3.3409e+06
3 4.174e+06 4.174e+06 4.174e+06
3.5 5.182e+06 5.182e+06 5.182e+06
4 6.3936e+06 6.3936e+06 6.3936e+06
4.5 7.8401e+06 7.8401e+06 7.8401e+06
5 9.5559e+06 9.5559e+06 9.5559e+06
5.5 1.1579e+07 1.1579e+07 1.1579e+07
6 1.3949e+07 1.3949e+07 1.3949e+07
6.5 1.6712e+07 1.6712e+07 1.6712e+07
7 1.9915e+07 1.9915e+07 1.9915e+07
7.5 2.3613e+07 2.3613e+07 2.3613e+07
8 2.7863e+07 2.7863e+07 2.7863e+07
8.5 3.2722e+07 3.2722e+07 3.2722e+07
9 3.8256e+07 3.8256e+07 3.8256e+07
9.5 4.4537e+07 4.4537e+07 4.4537e+07
10 5.1645e+07 5.1645e+07 5.1635e+07
10.5 5.964e+07 5.9635e+07 5.9599e+07
11 6.8579e+07 6.8548e+07 6.8405e+07
11.5 7.8494e+07 7.838e+07 7.7996e+07
12 8.94e+07 8.9118e+07 8.8263e+07
12.5 1.0131e+08 1.0073e+08 9.9138e+07
13 1.1421e+08 1.1316e+08 1.1047e+08
13.5 1.2811e+08 1.2638e+08 1.2213e+08
14 1.4297e+08 1.4027e+08 1.3399e+08
14.5 1.5876e+08 1.548e+08 1.4584e+08
15 1.7541e+08 1.6982e+08 1.576e+08
15.5 1.929e+08 1.8529e+08 1.6905e+08
16 2.1113e+08 2.0105e+08 1.8012e+08
16.5 2.3006e+08 2.1706e+08 1.9066e+08
17 2.4955e+08 2.3316e+08 2.0058e+08
17.5 2.6959e+08 2.4932e+08 2.0985e+08
18 2.9e+08 2.6539e+08 2.1836e+08
18.5 3.1077e+08 2.8132e+08 2.2612e+08
19 3.3174e+08 2.9706e+08 2.3313e+08
19.5 3.5281e+08 3.1249e+08 2.3936e+08
20 3.7398e+08 3.2763e+08 2.4484e+08
20.5 3.9503e+08 3.4238e+08 2.4964e+08
21 4.1596e+08 3.5671e+08 2.5376e+08
21.5 4.3668e+08 3.7063e+08 2.5722e+08
22 4.5704e+08 3.8409e+08 2.6014e+08
