0 1e+06 1.375e+07
0.5 1.2792e+06 1.4736e+07
1 1.6236e+06 1.5751e+07
1.5 2.044e+06 1.6788e+07
2 2.5522e+06 1.7839e+07
2.5 3.1602e+06 1.8895e+07
3 3.8805e+06 1.9947e+07
3.5 4.7256e+06 2.0986e+07
4 5.7079e+06 2.2002e+07
4.5 6.8396e+06 2.2988e+07
5 8.1325e+06 2.3936e+07
5.5 9.5982e+06 2.4839e+07
6 1.1248e+07 2.5694e+07
6.5 1.3094e+07 2.6495e+07
7 1.5146e+07 2.7242e+07
7.5 1.7417e+07 2.7933e+07
8 1.9919e+07 2.8568e+07
8.5 2.2665e+07 2.9148e+07
9 2.567e+07 2.9675e+07
9.5 2.8947e+07 3.0152e+07
10 3.2514e+07 3.0581e+07
10.5 3.6388e+07 3.0965e+07
11 4.0589e+07 3.1307e+07
11.5 4.5136e+07 3.1611e+07
12 5.0052e+07 3.1881e+07
12.5 5.5359e+07 3.2118e+07
13 6.1083e+07 3.2326e+07
13.5 6.7247e+07 3.2507e+07
14 7.3879e+07 3.2665e+07
14.5 8.1005e+07 3.2801e+07
15 8.8652e+07 3.2917e+07
15.5 9.6849e+07 3.3017e+07
16 1.0562e+08 3.31e+07
16.5 1.1499e+08 3.317e+07
17 1.2499e+08 3.3226e+07
17.5 1.3563e+08 3.327e+07
18 1.4695e+08 3.3305e+07
18.5 1.5894e+08 3.333e+07
19 1.7165e+08 3.3347e+07
19.5 1.8506e+08 3.3355e+07
20 1.9918e+08 3.3357e+07
20.5 2.14e+08 3.3351e+07
21 2.2953e+08 3.3339e+07
21.5 2.4575e+08 3.3321e+07
22 2.6263e+08 3.3298e+07
22.5 2.8016e+08 3.3271e+07
23 2.9831e+08 3.324e+07
23.5 3.1701e+08 3.3205e+07
24 3.3622e+08 3.3166e+07
24.5 3.5587e+08 3.3123e+07
25 3.759e+08 3.3076e+07
25.5 3.9624e+08 3.3027e+07
26 4.1683e+08 3.2975e+07
26.5 4.376e+08 3.292e+07
27 4.5846e+08 3.2864e+07
27.5 4.7935e+08 3.2806e+07
28 5.0018e+08 3.2747e+07
28.5 5.2087e+08 3.2687e+07
29 5.4134e+08 3.2626e+07
29.5 5.6151e+08 3.2564e+07
30 5.8131e+08 3.2502e+07
30.5 6.007e+08 3.2439e+07
31 6.1961e+08 3.2377e+07
31.5 6.3801e+08 3.2314e+07
32 6.5586e+08 3.2253e+07
32.5 6.7314e+08 3.2192e+07
33 6.898e+08 3.2133e+07
33.5 7.0583e+08 3.2074e+07
34 7.212e+08 3.2016e+07
34.5 7.3591e+08 3.196e+07
35 7.4995e+08 3.1906e+07
35.5 7.6333e+08 3.1852e+07
36 7.7605e+08 3.1801e+07
36.5 7.8814e+08 3.1751e+07
37 7.996e+08 3.1703e+07
37.5 8.1046e+08 3.1656e+07
38 8.2072e+08 3.1612e+07
38.5 8.3041e+08 3.1569e+07
39 8.3953e+08 3.1528e+07
39.5 8.4812e+08 3.1489e+07
40 8.5621e+08 3.1451e+07
40.5 8.6382e+08 3.1415e+07
41 8.7097e+08 3.1381e+07
41.5 8.7769e+08 3.1349e+07
42 8.8399e+08 3.1318e+07
42.5 8.8989e+08 3.1289e+07
43 8.9541e+08 3.1261e+07
43.5 9.0058e+08 3.1235e+07
44 9.0542e+08 3.121e+07
44.5 9.0995e+08 3.1187e+07
45 9.142e+08 3.1164e+07
45.5 9.1819e+08 3.1144e+07
46 9.2191e+08 3.1124e+07
46.5 9.2538e+08 3.1105e+07
47 9.2863e+08 3.1088e+07
47.5 9.3165e+08 3.1071e+07
48 9.3447e+08 3.1055e+07
48.5 9.371e+08 3.1041e+07
49 9.3956e+08 3.1027e+07
49.5 9.4186e+08 3.1014e+07
50 9.4402e+08 3.1002e+07
50.5 9.4604e+08 3.099e+07
51 9.4792e+08 3.098e+07
51.5 9.4968e+08 3.097e+07
52 9.5132e+08 3.096e+07
52.5 9.5284e+08 3.0952e+07
53 9.5427e+08 3.0943e+07
53.5 9.5559e+08 3.0935e+07
54 9.5683e+08 3.0928e+07
54.5 9.5798e+08 3.0921e+07
55 9.5906e+08 3.0915e+07
55.5 9.6008e+08 3.0909e+07
56 9.6102e+08 3.0903e+07
56.5 9.619e+08 3.0898e+07
57 9.6272e+08 3.0893e+07
57.5 9.6349e+08 3.0889e+07
58 9.6421e+08 3.0884e+07
58.5 9.6487e+08 3.088e+07
59 9.6549e+08 3.0877e+07
59.5 9.6608e+08 3.0873e+07
60 9.6662e+08 3.087e+07
