0 7.8e+07
0.5 8.0246e+07
1 8.2495e+07
1.5 8.4751e+07
2 8.7017e+07
2.5 8.9294e+07
3 9.1586e+07
3.5 9.3894e+07
4 9.622e+07
4.5 9.8565e+07
5 1.0093e+08
5.5 1.0332e+08
6 1.0573e+08
6.5 1.0816e+08
7 1.1061e+08
7.5 1.1308e+08
8 1.1558e+08
8.5 1.181e+08
9 1.2065e+08
9.5 1.2321e+08
10 1.258e+08
10.5 1.284e+08
11 1.3094e+08
11.5 1.3339e+08
12 1.3569e+08
12.5 1.378e+08
13 1.3971e+08
13.5 1.414e+08
14 1.4285e+08
14.5 1.4405e+08
15 1.4502e+08
15.5 1.4574e+08
16 1.4624e+08
16.5 1.4651e+08
17 1.4656e+08
17.5 1.4642e+08
18 1.4609e+08
18.5 1.456e+08
19 1.4494e+08
19.5 1.4415e+08
20 1.4322e+08
20.5 1.4219e+08
21 1.4105e+08
21.5 1.3982e+08
22 1.3852e+08
22.5 1.3715e+08
23 1.3573e+08
23.5 1.3426e+08
24 1.3275e+08
24.5 1.3122e+08
25 1.2966e+08
25.5 1.2808e+08
26 1.2649e+08
26.5 1.2489e+08
27 1.2329e+08
27.5 1.2169e+08
28 1.201e+08
28.5 1.1852e+08
29 1.1694e+08
29.5 1.1538e+08
30 1.1383e+08
