0 1e+06
0.5 1.2787e+06
1 1.6223e+06
1.5 2.0415e+06
2 2.5479e+06
2.5 3.1536e+06
3 3.8708e+06
3.5 4.7118e+06
4 5.6889e+06
4.5 6.8141e+06
5 8.0991e+06
5.5 9.5553e+06
6 1.1194e+07
6.5 1.3027e+07
7 1.5064e+07
7.5 1.7318e+07
8 1.9801e+07
8.5 2.2526e+07
9 2.5507e+07
9.5 2.8758e+07
10 3.2297e+07
10.5 3.6008e+07
11 3.9504e+07
11.5 4.2506e+07
12 4.4774e+07
12.5 4.6108e+07
13 4.6372e+07
13.5 4.5513e+07
14 4.3576e+07
14.5 4.0731e+07
15 3.738e+07
15.5 3.3963e+07
16 3.0828e+07
16.5 2.818e+07
17 2.6091e+07
17.5 2.4548e+07
18 2.3496e+07
18.5 2.2869e+07
19 2.2607e+07
19.5 2.2659e+07
20 2.2989e+07
20.5 2.3567e+07
21 2.4377e+07
21.5 2.5407e+07
22 2.6651e+07
22.5 2.811e+07
23 2.9786e+07
23.5 3.1685e+07
24 3.3818e+07
24.5 3.6194e+07
25 3.8828e+07
25.5 4.1735e+07
26 4.4932e+07
26.5 4.8437e+07
27 5.2272e+07
27.5 5.6458e+07
28 6.1017e+07
28.5 6.5975e+07
29 7.1356e+07
29.5 7.7187e+07
30 8.3495e+07
30.5 9.0306e+07
31 9.7649e+07
31.5 1.0555e+08
32 1.1404e+08
32.5 1.2313e+08
33 1.3287e+08
33.5 1.4326e+08
34 1.5433e+08
34.5 1.6609e+08
35 1.7856e+08
35.5 1.9175e+08
36 2.0565e+08
36.5 2.2028e+08
37 2.3561e+08
37.5 2.5164e+08
38 2.6834e+08
38.5 2.8568e+08
39 3.0363e+08
39.5 3.2214e+08
40 3.4116e+08
