0 1e+06 1e+06 1e+06
0.5 1.2873e+06 1.2873e+06 1.2873e+06
1 1.6447e+06 1.6447e+06 1.6447e+06
1.5 2.0847e+06 2.0847e+06 2.0847e+06
2 2.6209e+06 2.6209e+06 2.6209e+06
2.5 3.2681e+06 3.2681e+06 3.2681e+06
3 4.0413e+06 4.0413e+06 4.0413e+06
3.5 4.9558e+06 4.9558e+06 4.9558e+06
4 6.0271e+06 6.0271e+06 6.0271e+06
4.5 7.2703e+06 7.2703e+06 7.2703e+06
5 8.7005e+06 8.7005e+06 8.7005e+06
5.5 1.0332e+07 1.0332e+07 1.0332e+07
6 1.2178e+07 1.2178e+07 1.2178e+07
6.5 1.4254e+07 1.4254e+07 1.4254e+07
7 1.6572e+07 1.6572e+07 1.6572e+07
7.5 1.9148e+07 1.9148e+07 1.9148e+07
8 2.1993e+07 2.1993e+07 2.1993e+07
8.5 2.5124e+07 2.5124e+07 2.5124e+07
9 2.8556e+07 2.8556e+07 2.8556e+07
9.5 3.2305e+07 3.2305e+07 3.2305e+07
10 3.6388e+07 3.6387e+07 3.6387e+07
10.5 4.0809e+07 4.0797e+07 4.0806e+07
11 4.5556e+07 4.551e+07 4.5488e+07
11.5 5.06e+07 5.0459e+07 5.037e+07
12 5.5919e+07 5.5611e+07 5.5301e+07
12.5 6.1474e+07 6.089e+07 6.024e+07
13 6.7249e+07 6.627e+07 6.5023e+07
13.5 7.3204e+07 7.1671e+07 6.9621e+07
14 7.9322e+07 7.7076e+07 7.3889e+07
14.5 8.557e+07 8.2409e+07 7.7808e+07
15 9.1927e+07 8.7663e+07 8.1289e+07
15.5 9.8378e+07 9.2778e+07 8.43e+07
16 1.0489e+08 9.7748e+07 8.6837e+07
16.5 1.1147e+08 1.0255e+08 8.8875e+07
17 1.1808e+08 1.0716e+08 9.0416e+07
17.5 1.2473e+08 1.1158e+08 9.1505e+07
18 1.314e+08 1.1581e+08 9.2156e+07
18.5 1.3809e+08 1.1984e+08 9.2374e+07
19 1.4479e+08 1.2368e+08 9.2249e+07
19.5 1.515e+08 1.2734e+08 9.1805e+07
20 1.5822e+08 1.3082e+08 9.1038e+07
20.5 1.6493e+08 1.3412e+08 9.004e+07
21 1.7166e+08 1.3728e+08 8.8851e+07
21.5 1.7838e+08 1.403e+08 8.747e+07
22 1.851e+08 1.4316e+08 8.592e+07
22.5 1.9182e+08 1.459e+08 8.4286e+07
