0 1e+06
0.5 1.2745e+06
1 1.6054e+06
1.5 1.9959e+06
2 2.4467e+06
2.5 2.9536e+06
3 3.5074e+06
3.5 4.0924e+06
4 4.6872e+06
4.5 5.2649e+06
5 5.7956e+06
5.5 6.2487e+06
6 6.5966e+06
6.5 6.8177e+06
7 6.8994e+06
7.5 6.839e+06
8 6.6441e+06
8.5 6.331e+06
9 5.9224e+06
9.5 5.4447e+06
10 4.9247e+06
10.5 4.3876e+06
11 3.855e+06
11.5 3.3442e+06
12 2.8675e+06
12.5 2.4331e+06
13 2.0449e+06
13.5 1.7041e+06
14 1.4092e+06
14.5 1.1574e+06
15 9.4481e+05
15.5 7.6709e+05
16 6.1979e+05
16.5 4.9864e+05
17 3.9964e+05
17.5 3.1922e+05
18 2.5423e+05
18.5 2.0193e+05
19 1.6002e+05
19.5 1.2654e+05
20 99889
20.5 78721
21 61949
21.5 48689
22 38224
22.5 29979
23 23491
23.5 18393
24 14392
24.5 11253
25 8794.9
25.5 6870
26 5364.1
26.5 4186.7
27 3266.6
27.5 2547.9
28 1986.8
28.5 1548.9
29 1207.2
29.5 940.72
30 732.94
30.5 570.96
31 444.72
31.5 346.34
32 269.7
32.5 209.99
33 163.49
33.5 127.28
34 99.078
34.5 77.12
35 60.026
35.5 46.718
36 36.358
36.5 28.295
37 22.019
37.5 17.135
38 13.333
38.5 10.375
39 8.0726
39.5 6.2811
40 4.8871
40.5 3.8024
41 2.9584
41.5 2.3017
42 1.7908
42.5 1.3932
43 1.0839
43.5 0.84328
44 0.65606
44.5 0.5104
45 0.39707
45.5 0.30891
46 0.24032
46.5 0.18695
47 0.14544
47.5 0.11314
48 0.08802
48.5 0.068474
49 0.053268
49.5 0.041439
50 0.032237
50.5 0.025078
51 0.019509
51.5 0.015177
52 0.011806
52.5 0.0091842
53 0.0071447
53.5 0.0055579
54 0.0043237
54.5 0.0033634
55 0.0026165
55.5 0.0020354
56 0.0015833
56.5 0.0012318
57 0.00095811
57.5 0.00074539
58 0.00057991
58.5 0.00045099
59 0.00035091
59.5 0.00027305
60 0.00021241
