0 6.7584e+08 9.7616e+08 1.2523e+09 3.5365e+07 3.0794e+07 2.6591e+07
2.5e-07 6.3365e+08 9.3998e+08 1.222e+09 3.6007e+07 3.1345e+07 2.7053e+07
5e-07 5.9183e+08 9.0412e+08 1.1919e+09 3.6643e+07 3.189e+07 2.7511e+07
7.5e-07 5.5038e+08 8.6856e+08 1.162e+09 3.7274e+07 3.2432e+07 2.7965e+07
1e-06 5.0929e+08 8.333e+08 1.1324e+09 3.79e+07 3.2968e+07 2.8415e+07
1.25e-06 4.6854e+08 7.9832e+08 1.1031e+09 3.852e+07 3.3501e+07 2.8862e+07
1.5e-06 4.2813e+08 7.6363e+08 1.074e+09 3.9135e+07 3.4029e+07 2.9305e+07
1.75e-06 3.8805e+08 7.2921e+08 1.0451e+09 3.9745e+07 3.4552e+07 2.9745e+07
2e-06 3.4828e+08 6.9505e+08 1.0164e+09 4.035e+07 3.5072e+07 3.0182e+07
2.25e-06 3.0883e+08 6.6115e+08 9.8792e+08 4.095e+07 3.5588e+07 3.0615e+07
2.5e-06 2.6969e+08 6.2751e+08 9.5966e+08 4.1546e+07 3.61e+07 3.1045e+07
2.75e-06 2.3084e+08 5.9411e+08 9.3161e+08 4.2137e+07 3.6609e+07 3.1472e+07
3e-06 1.9228e+08 5.6095e+08 9.0375e+08 4.2724e+07 3.7113e+07 3.1896e+07
3.25e-06 1.5399e+08 5.2803e+08 8.7609e+08 4.3307e+07 3.7614e+07 3.2317e+07
3.5e-06 1.1596e+08 4.9533e+08 8.4862e+08 4.3885e+07 3.8112e+07 3.2735e+07
3.75e-06 7.8146e+07 4.6287e+08 8.2133e+08 4.446e+07 3.8606e+07 3.315e+07
4e-06 4.1647e+07 4.3062e+08 7.9423e+08 4.5026e+07 3.9097e+07 3.3563e+07
4.25e-06 1.3674e+07 3.9858e+08 7.6729e+08 4.5556e+07 3.9584e+07 3.3973e+07
4.5e-06 2.4051e+06 3.6676e+08 7.4054e+08 4.6016e+07 4.0069e+07 3.438e+07
4.75e-06 2.8378e+05 3.3514e+08 7.1395e+08 4.6437e+07 4.055e+07 3.4785e+07
5e-06 28653 3.0373e+08 6.8752e+08 4.6846e+07 4.1028e+07 3.5187e+07
5.25e-06 2748.2 2.7251e+08 6.6126e+08 4.7251e+07 4.1503e+07 3.5587e+07
5.5e-06 260.68 2.4149e+08 6.3516e+08 4.7653e+07 4.1975e+07 3.5984e+07
5.75e-06 24.712 2.1065e+08 6.0921e+08 4.8051e+07 4.2445e+07 3.6379e+07
6e-06 2.3647 1.8e+08 5.8341e+08 4.8446e+07 4.2911e+07 3.6771e+07
6.25e-06 0.22881 1.4954e+08 5.5777e+08 4.8837e+07 4.3375e+07 3.7162e+07
