0 1e+06
0.5 1.2792e+06
1 1.623e+06
1.5 2.0414e+06
2 2.5444e+06
2.5 3.1413e+06
3 3.8403e+06
3.5 4.6473e+06
4 5.5661e+06
4.5 6.5971e+06
5 7.7374e+06
5.5 8.9804e+06
6 1.0316e+07
6.5 1.1732e+07
7 1.3212e+07
7.5 1.474e+07
8 1.6299e+07
8.5 1.7871e+07
9 1.9439e+07
9.5 2.0989e+07
10 2.2508e+07
10.5 2.3985e+07
11 2.5411e+07
11.5 2.6781e+07
12 2.8091e+07
12.5 2.9337e+07
13 3.052e+07
13.5 3.1641e+07
14 3.2701e+07
14.5 3.3702e+07
15 3.4648e+07
15.5 3.5542e+07
16 3.6388e+07
16.5 3.7189e+07
17 3.795e+07
17.5 3.8674e+07
18 3.9365e+07
18.5 4.0025e+07
19 4.0659e+07
19.5 4.1268e+07
20 4.1856e+07
20.5 4.2426e+07
21 4.2978e+07
21.5 4.3515e+07
22 4.404e+07
22.5 4.4553e+07
23 4.5056e+07
23.5 4.5551e+07
24 4.6038e+07
24.5 4.6519e+07
25 4.6995e+07
25.5 4.7466e+07
26 4.7933e+07
26.5 4.8397e+07
27 4.8858e+07
27.5 4.9317e+07
28 4.9775e+07
28.5 5.0231e+07
29 5.0686e+07
29.5 5.114e+07
30 5.1594e+07
30.5 5.2048e+07
31 5.2501e+07
31.5 5.2955e+07
32 5.3409e+07
32.5 5.3864e+07
33 5.4319e+07
33.5 5.4774e+07
34 5.5231e+07
34.5 5.5688e+07
35 5.6145e+07
35.5 5.6604e+07
36 5.7063e+07
36.5 5.7524e+07
37 5.7985e+07
37.5 5.8447e+07
38 5.891e+07
38.5 5.9374e+07
39 5.9838e+07
39.5 6.0304e+07
40 6.077e+07
40.5 6.1238e+07
41 6.1706e+07
41.5 6.2175e+07
42 6.2645e+07
42.5 6.3115e+07
43 6.3587e+07
43.5 6.4059e+07
44 6.4531e+07
44.5 6.5005e+07
45 6.5478e+07
45.5 6.5953e+07
46 6.6428e+07
46.5 6.6904e+07
47 6.738e+07
47.5 6.7856e+07
48 6.8333e+07
48.5 6.881e+07
49 6.9288e+07
49.5 6.9766e+07
50 7.0244e+07
50.5 7.0722e+07
51 7.12e+07
51.5 7.1679e+07
52 7.2158e+07
52.5 7.2636e+07
53 7.3115e+07
53.5 7.3594e+07
54 7.4073e+07
54.5 7.4551e+07
55 7.503e+07
55.5 7.5508e+07
56 7.5986e+07
56.5 7.6463e+07
57 7.6941e+07
57.5 7.7418e+07
58 7.7894e+07
58.5 7.8371e+07
59 7.8846e+07
59.5 7.9322e+07
60 7.9796e+07
