0 7.8e+07
0.5 8.0276e+07
1 8.2558e+07
1.5 8.4847e+07
2 8.7147e+07
2.5 8.9461e+07
3 9.179e+07
3.5 9.4137e+07
4 9.6503e+07
4.5 9.889e+07
5 1.013e+08
5.5 1.0373e+08
6 1.0618e+08
6.5 1.0866e+08
7 1.1116e+08
7.5 1.1369e+08
8 1.1623e+08
8.5 1.1881e+08
9 1.214e+08
9.5 1.2402e+08
10 1.2667e+08
10.5 1.2932e+08
11 1.3192e+08
11.5 1.3442e+08
12 1.3678e+08
12.5 1.3895e+08
13 1.4091e+08
13.5 1.4265e+08
14 1.4415e+08
14.5 1.454e+08
15 1.4641e+08
15.5 1.4718e+08
16 1.4771e+08
16.5 1.4802e+08
17 1.4811e+08
17.5 1.48e+08
18 1.4771e+08
18.5 1.4724e+08
19 1.4661e+08
19.5 1.4584e+08
20 1.4493e+08
20.5 1.4392e+08
21 1.428e+08
21.5 1.4159e+08
22 1.403e+08
22.5 1.3894e+08
23 1.3753e+08
23.5 1.3607e+08
24 1.3457e+08
24.5 1.3304e+08
25 1.3148e+08
25.5 1.2991e+08
26 1.2833e+08
26.5 1.2673e+08
27 1.2514e+08
27.5 1.2354e+08
28 1.2195e+08
28.5 1.2037e+08
29 1.1879e+08
29.5 1.1723e+08
30 1.1568e+08
