0 1e+06
0.5 1.2746e+06
1 1.606e+06
1.5 1.9986e+06
2 2.4545e+06
2.5 2.9725e+06
3 3.5474e+06
3.5 4.1693e+06
4 4.8238e+06
4.5 5.4924e+06
5 6.1534e+06
5.5 6.7838e+06
6 7.3609e+06
6.5 7.8639e+06
7 8.2763e+06
7.5 8.5861e+06
8 8.787e+06
8.5 8.8783e+06
9 8.864e+06
9.5 8.7523e+06
10 8.5545e+06
10.5 8.2836e+06
11 7.9534e+06
11.5 7.5778e+06
12 7.1698e+06
12.5 6.7413e+06
13 6.3029e+06
13.5 5.8632e+06
14 5.4297e+06
14.5 5.0079e+06
15 4.6023e+06
15.5 4.216e+06
16 3.8511e+06
16.5 3.5088e+06
17 3.1897e+06
17.5 2.8938e+06
18 2.6207e+06
18.5 2.3695e+06
19 2.1394e+06
19.5 1.9292e+06
20 1.7376e+06
20.5 1.5636e+06
21 1.4057e+06
21.5 1.2627e+06
22 1.1335e+06
22.5 1.0169e+06
23 9.1173e+05
23.5 8.1704e+05
24 7.3186e+05
24.5 6.5529e+05
25 5.8652e+05
25.5 5.248e+05
26 4.6943e+05
26.5 4.198e+05
27 3.7533e+05
27.5 3.355e+05
28 2.9984e+05
28.5 2.6793e+05
29 2.3937e+05
29.5 2.1384e+05
30 1.91e+05
30.5 1.7058e+05
31 1.5233e+05
31.5 1.3602e+05
32 1.2145e+05
32.5 1.0843e+05
33 96797
33.5 86410
34 77133
34.5 68848
35 61451
35.5 54846
36 48950
36.5 43686
37 38987
37.5 34793
38 31049
38.5 27707
39 24725
39.5 22063
40 19687
40.5 17567
41 15675
41.5 13987
42 12480
42.5 11136
43 9936.1
43.5 8865.6
44 7910.4
44.5 7058
45 6297.5
45.5 5618.8
46 5013.3
46.5 4473
47 3990.9
47.5 3560.8
48 3177
48.5 2834.6
49 2529.1
49.5 2256.5
50 2013.3
50.5 1796.2
51 1602.6
51.5 1429.9
52 1275.7
52.5 1138.2
53 1015.5
53.5 906.05
54 808.38
54.5 721.23
55 643.48
55.5 574.11
56 512.22
56.5 457
57 407.74
57.5 363.78
58 324.57
58.5 289.58
59 258.36
59.5 230.51
60 205.66
